Numero,Nombre,Direccion,Diesel,Magna,Premium,Latitud,Longitud
PL/13611/EXP/ES/2016,POWER GAS S.A. DE C.V.,Boulevard Libertad No. 118,,23.3,28.19,29.0326402,-110.9677374
PL/18789/EXP/ES/2016,GASERVICIO ORIENTE S.A. DE C.V.,Boulevard Enrique Mazon López No. 1113,29.99,23.99,29.99,29.1557764,-110.9090723
PL/19326/EXP/ES/2016,GASERVICIO MORELOS S.A. DE C.V.,Boulevard Alicia Arellano Pavlovich No. 476,29.99,23.99,28.99,28.8389878,-111.489224
PL/20952/EXP/ES/2018,ESTACION DE SERVICIO ERSAL SA DE CV,AVE MAR DE CORTES NÚMERO 8910,29.9,23.99,29.1,29.084843,-110.9880654
PL/24346/EXP/ES/2022,CM COMBUSTIBLES S.A. DE C.V.,BLVD LUIS DONALDO COLOSIO NO. 1099 ESQUINA CALLE JET,28.49,23.99,28.1,29.0809248,-111.0490011
PL/24366/EXP/ES/2022,"GASERVICIO PUERTA REAL, S.A. DE C.V.",BOULEVARD GASPAR LUKEN ESCALANTE NO. 801,,23.99,28.99,29.1213457,-111.0338619
PL/24464/EXP/ES/2022,ESCOTAC S.A. DE C.V.,BLVD. SOLIDARIDAD 808,,22.99,28.99,29.0616685,-110.9667494
PL/24968/EXP/ES/2023,"FONDO EMPRESARIAL S4M, S.A. DE C.V.",Blvd. Solidaridad No. 1120,28.99,23.99,28.99,29.0615585,-110.966474
PL/25059/EXP/ES/2023,"GAZPRO, S.A. DE C.V.",Blvd. Juan Bautista de Escalante #824,,23.28,28.98,29.1447194,-110.9977639
PL/25060/EXP/ES/2023,"GAZPRO, S.A. DE C.V.",Bulevar Solidaridad #116,,23.44,28.98,29.0981158,-110.9935081
PL/25176/EXP/ES/2023,"GAZPRO, S.A. DE C.V.",Periférico Poniente #02,,23.88,28.78,29.0356688,-110.9832776
PL/25184/EXP/ES/2023,"OPERADORA RIO COLORADO, S. DE R.L. DE C.V.",BULEVAR JESUS GARCIA MORALES NO. 496,28.17,23.39,27.95,29.0950819,-111.0228287
PL/25322/EXP/ES/2023,"OPERADORA RIO COLORADO, S. DE R.L. DE C.V.",BULEVAR SOLIDARIDAD NO. 646,28.95,22.89,28.99,29.1319608,-110.9931916
PL/25360/EXP/ES/2023,"GAZPRO, S.A. DE C.V.",Blvd. Luis Donaldo Colosio #867,,23.38,28.09,29.0833443,-111.0212441
PL/25364/EXP/ES/2023,"FONDO EMPRESARIAL S4M, S.A. DE C.V.","Carretera a la Colorada No. 189, esquina con Bulevar Capomo",28.99,23.99,28.99,29.01957669999999,-110.9306
PL/26006/EXP/ES/2024,"GAZPRO, S.A. DE C.V.",Bulevar José María Morelos S/N,,23.96,29.94,29.1409566,-110.953466
PL/26186/EXP/ES/2025,"GASERVICIO PUERTA REAL, S.A. DE C.V.",AVENIDA NAVOJOA No. 1418,,23.99,28.99,29.1185439,-111.0172361
PL/2639/EXP/ES/2015,ESTACIÓN DE SERVICIO ERSAL S.A. DE C.V.,Carretera Hermosillo a Kino Km 106 L-4,29.9,23.99,29.1,29.0798018,-110.9532482
PL/2691/EXP/ES/2015,POWER GAS S.A. DE C.V.,Boulevard Enrique Mazón López No. 724,28.89,23.3,28.19,29.119724,-110.912889
PL/2692/EXP/ES/2015,GASOLINERA VILLA DE SERIS S.A. DE C.V.,Boulevard Vildosola No. 36,,23.3,28.19,29.062827,-110.954255
PL/2693/EXP/ES/2015,AUTOSERVICIO LA CANDELARIA S.A. DE C.V.,Boulevard Antonio Quiroga No. 397,,23.25,27.99,29.1316042,-111.0231274
PL/2749/EXP/ES/2015,GASOLINERA LA VERBENA S.A. DE C.V.,Boulevard Camino del Seri No. 356,,24.39,29.99,29.0627145,-110.9909922
PL/2917/EXP/ES/2015,SUPER GASOLINERAS DE LA FRONTERA S.A. DE C.V. ,Boulevard Luis Encinas No. 36,28.49,23.99,27.99,29.0832264,-110.9495767
PL/2930/EXP/ES/2015,AUTOSERVICIO ROSALES S.A. DE C.V.,Boulevard Paseo Rio Sonora No. 128,,23.99,29.49,29.0689467,-110.980407
PL/2963/EXP/ES/2015,SUPER GASOLINERAS DE LA FRONTERA S.A. DE C.V. ,Francisco Monteverde No. 900,28.49,23.25,27.99,29.1160513,-110.9731861
PL/3029/EXP/ES/2015,GRUPO GASOLINERO LM S.A. DE C.V.,Carretera a Nogales Km 1.7,29.79,23.99,29.49,29.0265015,-110.911048
PL/3121/EXP/ES/2015,GASERVICIO HERMOSUR S.A. DE C.V.,Boulevard Manuel J. Clouthier No. 275,29.79,23.99,29.49,29.0159111,-110.9623992
PL/3136/EXP/ES/2015,SUPER GASOLINERAS DE LA FRONTERA S.A. DE C.V. ,Periférico Sur No. 28,28.49,23.99,27.99,29.0359254,-110.9545754
PL/3252/EXP/ES/2015,COMBUSTIBLES Y SERVICIOS JARDIN JUÁREZ S.A. DE C.V.,Calle Matamoros S/N,29.99,23.99,29.99,29.05154739999999,-110.9714221
PL/3255/EXP/ES/2015,COMBUSTIBLES Y SERVICIOS HAV S.A. DE C.V.,Boulevard Dr. Antonio Quiroga No. 330,29.99,23.99,29.99,29.03722939999999,-111.0020967
PL/3256/EXP/ES/2015,COMBUSTIBLES Y SERVICIOS PERISUR S.A. DE C.V.,Periférico Sur Y Carretera a Sahuaripa,29.99,23.99,29.99,29.0332041,-110.9420655
PL/3275/EXP/ES/2015,"AUTOSERVICIO ROSALES, S.A. DE C.V.",Boulevardpaseo Rio Sonora Esquina Dr. Domingo Olivares No. 422,,23.99,29.49,29.1097797,-110.9804657
